"S5","X.G4.3.6.5.","X.G4.1.7.3.","S4","X.G4.2.4.1.","X.G4.3.6.6.","X.G1.1.1.5.","X.G4.2.1.2.","pssm257","X.G4.3.1.5.","X.G1.1.1.13.","X.G4.3.2.14.","LC5.3","X.G4.1.5.1.","X.G4.3.2.12.","X.G4.3.4.12.","X.G4.3.6.11.","X.G4.2.7.3.","X.G4.3.4.11.","LC3.3","X.G4.3.1.6.","LC4.3","X.G4.2.1.1.","X.G4.3.5.10.","X.G4.2.8.2.","X.G4.3.5.1.","X.G4.2.3.2.","X.G4.2.8.3.","LC8.3","X.G4.3.7.9.","Output"
0.022727273,24.675325,26.623377,0.045454545,34.85342,27.272727,3.571429,14.006515,0.0921,24.350649,6.168831,99.025974,0.119921053,9.090909,72.077922,72.077922,81.818182,12.703583,77.597403,0.103842105,21.753247,0.093157895,25.081433,69.805195,31.921824,1.298701,17.263844,16.612378,0.103761905,46.103896,1
0.027522936,25.382263,27.828746,0.042813456,32.515337,25.688073,3.363914,13.496933,0.082,25.076453,6.422018,99.082569,0.2663,11.009174,78.593272,78.593272,77.981651,13.496933,73.394495,0.073975,25.382263,0.13175,25.460123,85.626911,30.06135,1.223242,17.177914,16.257669,0.078404255,51.070336,1
0.032374101,26.978417,25.179856,0.050359712,34.65704,21.582734,3.597122,16.967509,0.0869,22.302158,6.115108,97.841727,0.138617647,10.071942,75.539568,75.539568,80.215827,13.718412,78.057554,0.011794118,23.021583,0.113852941,23.465704,74.460432,33.212996,4.676259,20.216606,16.606498,0.244125,44.604317,1
0.037593985,25.93985,23.308271,0.04887218,35.471698,24.06015,2.631579,15.849057,0.0844,22.556391,6.390977,99.62406,0.136363636,10.150376,70.676692,70.676692,80.451128,10.566038,76.315789,0.022181818,21.052632,0.098393939,24.528302,68.421053,36.981132,4.511278,19.245283,12.45283,0.259428571,43.609023,1
0.033707865,24.719101,24.344569,0.048689139,30.075188,24.344569,2.996255,18.045113,0.0781,24.719101,8.988764,99.625468,0.138939394,8.614232,77.52809,77.52809,71.161049,10.150376,72.659176,0.149121212,19.850187,0.047575758,19.548872,79.400749,34.210526,5.617978,21.804511,13.533835,0.0065,44.194757,1
0.062146893,28.813559,24.858757,0.084745763,33.522727,14.124294,3.389831,16.477273,0.0406,24.293785,3.389831,96.610169,0.637772727,9.60452,67.231638,67.231638,80.225989,19.318182,73.446328,0.011,22.59887,0.463909091,27.840909,58.19209,36.363636,7.909605,19.318182,11.931818,0.25,41.242938,1
0.0625,28.409091,26.704545,0.085227273,34.857143,13.636364,3.409091,16.571429,0.0452,26.704545,3.977273,96.590909,0.634636364,9.659091,73.863636,73.863636,79.545455,14.857143,73.295455,0.009181818,23.863636,0.503636364,20,67.045455,36,7.954545,20.571429,17.142857,0.293363636,40.909091,1
0.03,26,26.666667,0.046666667,34.448161,21,2,13.043478,0.0823,28.333333,9.333333,99,0.133540541,10.333333,72,72,73,14.381271,73,0.114540541,20.666667,0.115351351,25.41806,82.333333,37.458194,2,15.384615,13.712375,0.156780488,42.333333,1
0.050561798,26.966292,25.842697,0.078651685,31.073446,19.101124,1.685393,14.689266,0.0347,19.662921,7.303371,96.067416,0.1745,12.921348,75.842697,75.842697,69.662921,13.559322,73.595506,0.445772727,21.910112,0.348909091,29.378531,81.460674,31.073446,7.303371,16.949153,14.689266,0.051916667,42.696629,1
0.075342466,33.561644,24.657534,0.102739726,29.655172,15.753425,4.109589,20,0.0574,32.876712,2.739726,99.315068,0.384444444,6.849315,84.931507,84.931507,73.287671,20.689655,68.493151,0.422777778,15.068493,0.599611111,24.137931,71.917808,34.482759,12.328767,26.206897,13.103448,0.43745,43.835616,1
0.075342466,37.671233,26.712329,0.102739726,27.586207,13.013699,4.109589,18.62069,0.0519,32.191781,2.739726,99.315068,0.399944444,7.534247,84.931507,84.931507,74.657534,23.448276,67.123288,0.426611111,20.547945,0.618388889,26.896552,87.671233,31.724138,12.328767,24.827586,14.482759,0.4602,43.835616,1
0.068493151,32.876712,29.452055,0.102739726,27.586207,13.013699,2.739726,20,0.0492,32.191781,3.424658,99.315068,0.370055556,6.849315,84.931507,84.931507,76.712329,25.517241,67.808219,0.435388889,15.068493,0.575444444,26.896552,71.917808,30.344828,12.328767,23.448276,14.482759,0.4577,43.835616,1
0.068493151,42.465753,26.027397,0.102739726,26.206897,18.493151,4.109589,19.310345,0.0513,32.876712,4.109589,99.315068,0.379944444,8.219178,76.712329,76.712329,76.712329,17.931034,67.123288,0.4205,15.068493,0.569611111,22.068966,87.671233,31.034483,1.369863,25.517241,16.551724,0.4506,47.945205,1
0.075342466,42.465753,26.712329,0.102739726,30.344828,15.753425,3.424658,17.241379,0.0525,32.876712,3.424658,99.315068,0.389277778,8.219178,84.931507,84.931507,74.657534,22.068966,67.123288,0.429777778,14.383562,0.612333333,26.896552,82.876712,34.482759,12.328767,23.448276,11.724138,0.447,45.205479,1
0.082758621,43.448276,23.448276,0.103448276,26.388889,16.551724,3.448276,24.305556,0.0454,33.103448,2.068966,99.310345,0.376666667,10.344828,76.551724,76.551724,75.172414,15.972222,67.586207,0.521,22.758621,0.540555556,20.833333,71.724138,32.638889,2.758621,29.861111,18.055556,0.465736842,47.586207,1
0.082758621,43.448276,26.206897,0.103448276,27.083333,16.551724,4.137931,21.527778,0.0524,28.965517,2.068966,99.310345,0.398333333,10.344828,76.551724,76.551724,76.551724,18.055556,67.586207,0.518555556,24.827586,0.628111111,22.222222,71.724138,27.083333,2.758621,24.305556,19.444444,0.481789474,47.586207,1
0.075862069,37.241379,22.758621,0.103448276,32.638889,16.551724,3.448276,21.527778,0.0521,33.103448,2.068966,99.310345,0.355888889,9.655172,86.206897,86.206897,75.172414,17.361111,67.586207,0.5265,14.482759,0.526611111,23.611111,87.586207,31.944444,1.37931,23.611111,14.583333,0.492315789,44.827586,1
0.067114094,24.832215,22.147651,0.100671141,29.72973,27.516779,6.711409,14.864865,0.0575,29.530201,5.369128,100,0.427722222,9.395973,84.563758,84.563758,73.825503,18.243243,68.456376,0.3985,13.422819,0.559111111,27.702703,84.563758,29.72973,11.409396,18.243243,12.837838,0.396565217,49.66443,1
0.075862069,37.931034,21.37931,0.103448276,25,22.758621,4.827586,16.666667,0.0424,27.586207,3.448276,95.862069,0.457777778,11.724138,73.793103,73.793103,80,16.666667,75.172414,0.476722222,26.206897,0.543222222,26.388889,73.793103,33.333333,2.758621,22.222222,10.416667,0.478105263,45.517241,1
0.054347826,27.173913,28.804348,0.076086957,33.333333,22.282609,1.630435,14.754098,0.0822,27.173913,8.152174,99.456522,0.278,10.326087,80.978261,80.978261,80.434783,15.846995,72.826087,0.272913043,17.934783,0.40326087,24.590164,84.782609,31.147541,5.978261,16.939891,18.579235,0.294652174,38.586957,1
0.054347826,18.478261,27.717391,0.076086957,37.15847,32.065217,2.173913,15.300546,0.0728,27.173913,6.521739,100,0.26026087,8.152174,78.26087,78.26087,73.913043,17.486339,73.369565,0.260913043,16.847826,0.406,27.322404,79.891304,30.054645,5.978261,17.486339,20.218579,0.279,35.869565,1
0.047619048,28.095238,27.142857,0.066666667,36.842105,15.238095,1.428571,15.789474,0.1058,29.047619,5.714286,99.52381,0.285230769,9.52381,80.952381,80.952381,81.904762,19.617225,71.904762,0.019846154,23.809524,0.549384615,31.100478,82.380952,27.751196,6.666667,17.703349,19.617225,0.363607143,41.904762,1
0.051813472,27.979275,25.388601,0.07253886,34.895833,26.42487,2.072539,17.708333,0.0801,26.943005,6.735751,97.409326,0.281208333,9.326425,79.792746,79.792746,79.792746,15.625,71.502591,0.363583333,17.098446,0.288583333,25,81.865285,30.208333,5.699482,19.791667,20.3125,0.26524,48.704663,1
0.054347826,18.478261,27.173913,0.076086957,37.15847,28.26087,2.173913,16.393443,0.081,28.804348,7.065217,96.73913,0.283782609,8.695652,79.891304,79.891304,73.913043,17.486339,70.108696,0.25126087,16.304348,0.40826087,27.322404,82.065217,30.601093,5.978261,18.579235,19.125683,0.268608696,41.847826,1
0.058139535,24.418605,27.906977,0.081395349,35.672515,29.069767,1.744186,13.450292,0.076,29.069767,6.395349,96.511628,0.258904762,9.302326,78.488372,78.488372,79.069767,19.883041,69.186047,0.531142857,18.023256,0.188619048,30.994152,80.813953,30.409357,8.72093,16.374269,18.128655,0.3016,41.27907,1
0.051282051,22.564103,26.666667,0.071794872,36.597938,25.128205,2.564103,18.041237,0.0797,27.179487,7.179487,96.923077,0.277583333,9.230769,78.974359,78.974359,80.512821,19.587629,70.769231,0.058916667,18.461538,0.604541667,29.381443,79.487179,32.474227,5.128205,21.134021,18.556701,0.369,43.589744,1
0.046296296,25,27.314815,0.064814815,40.465116,31.481481,1.388889,14.418605,0.0905,21.296296,5.092593,99.537037,0.332703704,8.796296,81.481481,81.481481,77.777778,18.139535,72.685185,0.028851852,23.148148,0.469518519,29.302326,82.87037,29.302326,4.166667,16.744186,21.395349,0.364703704,43.518519,1
0.06010929,28.961749,20.218579,0.098360656,25.274725,21.311475,2.185792,22.527473,0.1264,27.322404,3.278689,99.453552,0.012090909,12.568306,82.513661,82.513661,78.142077,16.483516,73.770492,0.524818182,24.043716,0.6475,25.824176,78.688525,27.472527,10.928962,27.472527,22.527473,0.380655172,46.994536,1
0.059782609,23.913043,20.652174,0.086956522,25.68306,21.195652,2.173913,21.311475,0.1466,21.195652,3.804348,99.456522,0.186173913,12.5,82.065217,82.065217,77.173913,16.393443,72.826087,0.616217391,25.543478,0.464913043,21.857923,79.891304,28.415301,10.869565,26.775956,22.404372,0.394913043,44.021739,1
0.053475936,28.877005,24.064171,0.080213904,27.419355,26.737968,2.139037,19.354839,0.147,21.390374,4.278075,97.860963,0.218869565,10.695187,82.887701,82.887701,77.005348,14.516129,75.935829,0.624956522,29.411765,0.459521739,23.655914,83.42246,30.107527,6.951872,23.11828,17.741935,0.350269231,52.941176,1
0.059459459,25.405405,22.162162,0.081081081,29.347826,21.081081,2.162162,19.565217,0.1204,21.621622,4.324324,100,0.197608696,10.810811,81.621622,81.621622,74.054054,18.478261,72.972973,0.62473913,25.945946,0.495304348,25.543478,80,30.978261,22.702703,26.086957,19.565217,0.389333333,43.783784,1
0.06557377,22.404372,20.765027,0.081967213,21.428571,19.672131,4.918033,23.076923,0.1335,21.857923,2.73224,99.453552,0.007636364,13.114754,77.04918,77.04918,68.306011,14.835165,75.956284,0.515409091,24.590164,0.674363636,20.879121,77.04918,21.978022,1.092896,27.472527,24.175824,0.365034483,44.808743,1
0.073333333,34,22.666667,0.1,31.543624,22.666667,4,16.778523,0.0685,30.666667,4,94,0.408333333,12,76,76,74,20.134228,71.333333,0.391388889,20.666667,0.589277778,26.174497,72.666667,28.85906,2.666667,20.805369,14.09396,0.38275,45.333333,1
0.009584665,24.600639,18.690096,0.054313099,26.88,23.801917,3.674121,24.32,0.0782,20.926518,2.396166,99.201278,0.078564103,14.376997,72.364217,72.364217,75.079872,14.4,79.073482,0.183397436,24.600639,0.169589744,21.92,74.600639,23.52,2.076677,28.8,22.72,0.0008625,47.284345,-1
0.044444444,20.555556,18.888889,0.033333333,26.256983,22.222222,6.111111,21.787709,0.1028,30,3.888889,100,0.312681818,13.888889,62.777778,62.777778,68.888889,15.083799,76.666667,0.204045455,20.555556,0.545863636,26.256983,56.111111,26.256983,3.888889,27.374302,19.553073,0.129423077,51.666667,-1
0.011848341,18.009479,22.511848,0.08056872,29.691211,28.436019,6.398104,14.251781,0.1813,33.412322,2.843602,100,0.060076923,7.582938,68.720379,68.720379,71.090047,7.83848,75.592417,0.041673077,20.616114,0.012673077,12.351544,72.748815,32.779097,0.7109,16.389549,17.102138,0.008706897,48.815166,-1
0.026706231,24.035608,19.58457,0.053412463,27.083333,26.706231,4.747774,26.785714,0.1528,21.958457,3.857567,99.703264,0.070309524,12.759644,74.183976,74.183976,76.854599,13.095238,76.557864,0.180547619,27.002967,0.159880952,17.857143,69.732938,28.571429,0.593472,28.869048,22.619048,0.190976744,45.103858,-1
0.092592593,24.074074,16.666667,0.111111111,24.299065,20.37037,3.703704,22.429907,0.0299,16.666667,0,100,0.042,16.666667,68.518519,68.518519,65.740741,14.953271,80.555556,0.509461538,25.925926,0.670461538,30.841121,73.148148,19.626168,8.333333,25.233645,20.560748,0.430117647,34.259259,-1
0.051724138,23.563218,22.413793,0.103448276,24.855491,29.310345,5.747126,30.057803,0.0553,30.45977,2.298851,100,0.341904762,11.494253,76.436782,76.436782,72.988506,12.716763,74.137931,0.18052381,23.563218,0.552333333,16.184971,75.862069,32.369942,2.873563,35.260116,23.121387,0.263111111,41.37931,-1
0.03271028,28.037383,19.158879,0.102803738,28.169014,36.915888,3.271028,21.596244,0.0662,25.233645,4.672897,100,0.234615385,12.616822,75.233645,75.233645,71.962617,11.267606,78.504673,0.137846154,22.429907,0.471961538,20.187793,81.775701,26.760563,1.869159,24.882629,19.71831,0.00365625,44.859813,-1
0.026217228,24.344569,24.719101,0.078651685,32.330827,31.086142,3.745318,21.052632,0.0426,30.71161,2.247191,100,0.219939394,10.861423,71.910112,71.910112,69.28839,10.526316,69.662921,0.197848485,24.344569,0.104454545,16.917293,68.164794,32.706767,1.872659,22.180451,18.045113,0.183972222,56.554307,-1
0.012330456,21.701603,23.674476,0.033292232,25.555556,20.468557,3.575832,23.08642,0.4123,18.618989,3.082614,99.753391,0.115831683,12.577065,75.215783,75.215783,73.119605,17.654321,77.55857,0.22850495,24.907522,0.087693069,25.802469,70.900123,23.08642,1.35635,27.407407,23.45679,0.155259615,48.335388,-1
0.044025157,20.754717,25.786164,0.081761006,22.151899,30.81761,4.402516,19.620253,0.1035,32.075472,4.402516,99.371069,0.140473684,11.949686,71.698113,71.698113,69.811321,22.151899,73.584906,0.062526316,20.754717,0.220210526,29.746835,55.345912,29.746835,1.257862,27.848101,22.78481,0.188692308,50.943396,-1
0.034852547,23.324397,20.911528,0.037533512,27.688172,25.201072,4.021448,27.688172,0.0594,25.737265,3.217158,99.463807,0.346847826,11.260054,76.9437,76.9437,73.726542,17.473118,73.726542,0.365391304,21.983914,0.574478261,23.387097,66.487936,20.430108,0.536193,29.569892,27.150538,0.41954902,53.887399,-1
0.019021739,22.01087,25.815217,0.065217391,22.070845,19.021739,4.076087,19.891008,0.1474,17.391304,4.347826,100,0.248217391,13.315217,69.021739,69.021739,69.565217,16.076294,79.619565,0.150434783,24.728261,0.161065217,20.980926,67.663043,22.615804,9.51087,24.250681,23.160763,0.001869565,41.847826,-1
0.015923567,21.33758,26.11465,0.057324841,34.185304,22.292994,3.821656,18.530351,0.0522,27.070064,3.503185,100,0.170435897,8.917197,76.751592,76.751592,74.522293,14.696486,75.796178,0.066589744,22.611465,0.075692308,24.28115,77.388535,25.559105,0.636943,21.72524,23.642173,0.105902439,47.133758,-1
0.016085791,20.643432,21.447721,0.048257373,27.688172,30.02681,4.825737,24.731183,0.1592,25.201072,3.753351,99.463807,0.124478261,11.260054,79.088472,79.088472,75.603217,13.172043,74.798928,0.126304348,21.983914,0.074782609,20.430108,73.190349,28.494624,0.80429,27.956989,22.311828,0.09354902,47.453083,-1
0.01426025,25.668449,22.994652,0.037433155,23.75,28.698752,3.565062,21.25,0.1137,25.490196,5.16934,99.643494,0.113071429,10.516934,76.648841,76.648841,75.757576,12.678571,72.727273,0.195771429,24.59893,0.133628571,19.107143,88.770053,32.321429,0.356506,25.714286,17.5,0.157352113,45.454545,-1
0.013872832,24.855491,23.236994,0.025433526,25.925926,26.011561,3.468208,19.907407,0.1972,25.895954,5.086705,99.653179,0.113805556,15.028902,77.34104,77.34104,74.219653,15.277778,74.682081,0.221083333,23.699422,0.193231481,26.273148,78.265896,26.041667,0.346821,23.37963,17.824074,0.268743119,46.820809,-1
0.022900763,24.80916,22.137405,0.072519084,34.482759,27.480916,4.580153,18.390805,0.0442,25.19084,3.053435,99.618321,0.18790625,8.778626,67.557252,67.557252,77.480916,7.279693,76.335878,0.1861875,24.045802,0.03640625,20.306513,73.664122,35.249042,2.671756,22.222222,20.306513,0.168921053,52.290076,-1
0.01497006,23.053892,26.946108,0.056886228,30.630631,22.45509,0.598802,15.615616,0.0637,22.754491,5.688623,100,0.001365854,8.682635,68.562874,68.562874,79.640719,13.813814,81.736527,0.141,27.844311,0.146634146,22.222222,62.57485,29.429429,0.598802,20.720721,17.417417,0.003297872,46.107784,-1
